Entity,Day,daily_vaccinations
Hawaii,22/02/2021,14306
Hawaii,23/02/2021,13775
Hawaii,24/02/2021,14151
Hawaii,25/02/2021,14501
Hawaii,26/02/2021,8248
Hawaii,27/02/2021,8288
Hawaii,28/02/2021,8547
Hawaii,01/03/2021,8332
Hawaii,02/03/2021,8453
Hawaii,03/03/2021,8489
Hawaii,04/03/2021,8910
Hawaii,05/03/2021,8984
Hawaii,06/03/2021,9085
Hawaii,07/03/2021,7605
Hawaii,08/03/2021,9049
Hawaii,09/03/2021,10190
Hawaii,10/03/2021,10952
Hawaii,11/03/2021,11146
Hawaii,12/03/2021,11641
Hawaii,13/03/2021,11817
Hawaii,14/03/2021,13143
Hawaii,15/03/2021,12178
Hawaii,16/03/2021,11718
Idaho,13/01/2021,3027
Idaho,14/01/2021,3370
Idaho,15/01/2021,3597
Idaho,16/01/2021,3781
Idaho,17/01/2021,3892
Idaho,18/01/2021,3966
Idaho,19/01/2021,4019
Idaho,20/01/2021,4342
Idaho,21/01/2021,4398
Idaho,22/01/2021,4479
Idaho,23/01/2021,4524
Idaho,24/01/2021,4546
Idaho,25/01/2021,4519
Idaho,26/01/2021,4256
Idaho,27/01/2021,3961
Idaho,28/01/2021,4204
Idaho,29/01/2021,4412
Idaho,30/01/2021,4584
Idaho,31/01/2021,4822
Idaho,01/02/2021,4729
Idaho,02/02/2021,4697
Idaho,03/02/2021,5056
Idaho,04/02/2021,5585
Idaho,05/02/2021,7217
Idaho,06/02/2021,8784
Idaho,07/02/2021,9257
Idaho,08/02/2021,10173
Idaho,09/02/2021,10311
Idaho,10/02/2021,10428
Idaho,11/02/2021,10309
Idaho,12/02/2021,7810
Idaho,13/02/2021,6481
Idaho,14/02/2021,8088
Idaho,15/02/2021,8196
Idaho,16/02/2021,9257
Idaho,17/02/2021,9256
Idaho,18/02/2021,9202
Idaho,19/02/2021,12941
Idaho,20/02/2021,13126
Idaho,21/02/2021,12006
Idaho,22/02/2021,11898
Idaho,23/02/2021,10974
Idaho,24/02/2021,10909
Idaho,25/02/2021,11216
Idaho,26/02/2021,8924
Idaho,27/02/2021,9276
Idaho,28/02/2021,9433
Idaho,01/03/2021,9715
Idaho,02/03/2021,9885
Idaho,03/03/2021,10346
Idaho,04/03/2021,10173
Idaho,05/03/2021,10768
Idaho,06/03/2021,11290
